id,x,y,theta,left_bound_d,right_bound_d
0,160.81961059570312,180.27212524414062,0.8643057346343994,1.5,4.5
1,174.5980224609375,196.26593017578125,0.860647439956665,1.5,4.5
2,187.9161376953125,197.31716918945312,-0.6950041651725769,1.5,4.5
3,215.5756072998047,173.98016357421875,-0.7099969983100891,1.5,4.5
4,224.4467010498047,166.3553009033203,-0.7100002765655518,1.5,4.5
5,252.4715118408203,142.56349182128906,-0.6850059628486633,1.5,4.5
6,257.76934814453125,138.08248901367188,-0.7099990844726564,1.5,4.5
7,265.3940124511719,131.7467498779297,-0.7099972367286681,1.5,4.5
8,274.9872741699219,123.64627838134766,-0.7099953889846802,1.5,4.5
9,276.5024108886719,122.1987533569336,-0.6829760074615479,1.5,4.5
10,281.0543518066406,118.2862319946289,-0.7099987864494324,1.5,4.5
11,299.19097900390625,103.06028747558594,-0.7099990844726564,1.5,4.5
12,308.62896728515625,94.94808197021484,-0.7100088000297547,1.5,4.5
13,307.67889404296875,83.56922912597656,-2.280803918838501,2.0,2.0
14,275.03680419921875,45.212806701660156,-2.2757925987243652,2.0,2.0
15,243.28265380859375,7.572157382965088,-2.2582578659057617,2.0,2.0
16,233.18014526367188,6.241525650024414,2.436595916748047,2.0,2.0
17,208.4012908935547,27.370758056640625,2.4365901947021484,2.0,2.0
18,204.25454711914062,30.899158477783203,2.4365930557250977,2.0,2.0
19,184.93247985839844,47.20320510864258,2.4365949630737305,2.0,2.0
20,180.50582885742188,51.1518440246582,2.4133355617523193,2.0,2.0
21,162.03640747070312,66.84187316894531,2.465158224105835,2.0,2.0
22,157.58645629882812,70.4830551147461,2.4116013050079346,2.0,2.0
23,112.17625427246094,109.03396606445312,2.431593179702759,2.0,2.0
24,109.09908294677734,119.20262145996094,0.8513059616088867,1.5,4.5
25,155.33731079101562,173.6524658203125,0.8529439568519592,1.5,4.5
